producto|presentacion|marca|categoria|catalogo|precio|fecharegistro|cadenacomercial|giro|nombrecomercial|direccion|estado|municipio|latitud|longitud
special k|caja 450 gr original|kellogg's|arroz y cereales preparados|basicos|3746|2011-01-10 00:00:00000|comercial mexicana|tienda de autoservicio|comercial mexicana sucursal villas de la hacienda|av lago de guadalupe s/n esq de las villas|mexico|atizapan                                |na|na
galletas|caja 850 gr marias|gamesa|galletas pastas y harinas de trigo|basicos|248|2011-01-10 00:00:00000|comercial mexicana|tienda de autoservicio|comercial mexicana sucursal villas de la hacienda|av lago de guadalupe s/n esq de las villas|mexico|atizapan                                |na|na
galletas|caja 1 kg marias|cuetara|galletas pastas y harinas de trigo|basicos|27|2011-01-10 00:00:00000|comercial mexicana|tienda de autoservicio|comercial mexicana sucursal villas de la hacienda|av lago de guadalupe s/n esq de las villas|mexico|atizapan                                |na|na
horno de microondas|wm 1111 d00 11 pies cubicos|whirlpool|aparatos electricos|electrodomesticos|1612|2011-01-10 00:00:00000|comercial mexicana|tienda de autoservicio|comercial mexicana sucursal villas de la hacienda|av lago de guadalupe s/n esq de las villas|mexico|atizapan                                |na|na
estufas|ei 3004 bb0 frente 30 plgs 5 quemadores encendido manual color blanca|iem|muebles de cocina|electrodomesticos|2998|2011-01-10 00:00:00000|comercial mexicana|tienda de autoservicio|comercial mexicana sucursal villas de la hacienda|av lago de guadalupe s/n esq de las villas|mexico|atizapan                                |na|na
jarabe p/preparar bebidas|botella 700 ml horchata (azul)|princesa|chocolates y golosinas|basicos|2753|2011-01-10 00:00:00000|comercial mexicana|tienda de autoservicio|comercial mexicana sucursal villas de la hacienda|av lago de guadalupe s/n esq de las villas|mexico|atizapan                                |na|na
pata de cerdo|1 kg granel|s/m|carne y visceras de cerdo|mercados|289|2011-01-10 00:00:00000|comercial mexicana|tienda de autoservicio|comercial mexicana sucursal villas de la hacienda|av lago de guadalupe s/n esq de las villas|mexico|atizapan                                |na|na
pechuga de pollo|1 kg granel con hueso|s/m|carne de ave|mercados|52|2011-01-10 00:00:00000|comercial mexicana|tienda de autoservicio|comercial mexicana sucursal villas de la hacienda|av lago de guadalupe s/n esq de las villas|mexico|atizapan                                |na|na
zucaritas|caja 730 gr|kellogg's|arroz y cereales preparados|basicos|3891|2011-01-10 00:00:00000|comercial mexicana|tienda de autoservicio|comercial mexicana sucursal villas de la hacienda|av lago de guadalupe s/n esq de las villas|mexico|atizapan                                |na|na
corn flakes|caja 660 gr|nestle|arroz y cereales preparados|basicos|32|2011-01-10 00:00:00000|comercial mexicana|tienda de autoservicio|comercial mexicana sucursal villas de la hacienda|av lago de guadalupe s/n esq de las villas|mexico|atizapan                                |na|na
